Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store,Number of Ratings
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premier Quality Stylish Multicolor Cotton Polo T-Shirt For Men,214,209,2.0,Sawpno Fashion 1,71,0,97,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Mesh Premium Polo Shirt for Men,850,286,66.0,NowDeal Shopping,90,0,99,Free Delivery,Cash on Delivery Available,No,955
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Manfare's Casual Sweatshirt For Men | MF-356-S,750,450,40.0,Manfare,84,0,99,Free Delivery,Cash on Delivery Available,Yes,14
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premier Quality Polo T-shirt For Men,390,179,54.0,Sawpno Fashion 1,71,0,97,Free Delivery,Cash on Delivery Available,No,149
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Twill Cotton Pant for Men,550,190,65.0,Pant Bulk,0,0,97,Standard Delivery,Cash on Delivery Available,No,19
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premier Quality Polo T-shirt For Men,360,208,42.0,Sawpno Fashion 1,71,0,97,Free Delivery,Cash on Delivery Available,No,125
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Black Mans Comfortable Cotton Cargo Shorts Half Pants - Short Pant For Men,350,165,53.0,Xerox,80,0,93,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Indispensable -Quality And Durablity -NEW STYLIST FULL SLEEVE GENTS JACKET FOR MEN- Innovative Preferble - Low Hassle and Maintanance,1800,899,50.0,Winter Collection,84,0,99,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Lotto Premium Polo Shirt for Men,890,623,30.0,Lotto,87,0,56,Free Delivery,Cash on Delivery Available,Yes,82
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,"Stylish Polo Shirts for Men , Comfortable and soft wear",999,264,74.0,F R E S H E D Fashion,90,0,98,Free Delivery,Cash on Delivery Available,No,116
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,SMUG Exclusive Polo shirt Fabric soft and comfortable - Polo T Shirt For Men,700,314,55.0,SMUG.,86,0,99,Free Delivery,Cash on Delivery Available,Yes,101
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Style Long Sleeve Hoodie for Men - Hudi For Men - Hoodie For Men,1290,489,62.0,khan shop bd..,83,0,95,Free Delivery,Cash on Delivery Available,No,12
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Stylish Premium Winter Jacket With Pant Set For Men,1650,750,55.0,Jaket Bazar,84,0,99,Free Delivery,Cash on Delivery Available,No,3
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Exprot Collection Bonded Jacket For Men,1650,599,64.0,Jaket Bazar,84,0,99,Standard Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Premium Winter Jacket For Men - Jacket,1150,445,61.0,Hat-A-Toiri-Poshak,88,0,88,Free Delivery,Cash on Delivery Available,No,150
