Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,8mm Yoga Mat Non-slip Exercise Mat Body Building- (RANDOM COLOR),1250,730,42,A SELL BD,8,85,0,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Gym Exercise Yoga Mat Exercise Mat,606,606,0,Prime Collection 1662115126,16,85,0,68,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,YOGA MAT 3'/6' Pati TP Rubber - 10mm - 1 pcs - Fitness Mart,1600,1171,27,FITNESS MART,4,79,0,90,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,1Pcs Gym Bearing Pulley Wearproof Nylon Universal Bearing Pulley Wheel Cable,370,243,34,Jetting,1,84,100,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"Cervical Massage Pad, Cervical Massage Patch Mini Portable Electric Massager Patch for Neck Shoulder Spondylosis(only pad) Dream Paradise",550,86,84,Dream Paradise,1,80,0,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Gym Yoga Mat - Purple/Pink/Blue/Red/Grey,599,507,15,Uni Synthetic Accessories,76,88,0,0,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Foam Roller Exercise Back Muscle 13 Inch,1800,787,56,NF Sports,2,0,0,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Roller Massager 360 Rotate Silver Thin Face Full Body Shape Massager Lifting Wrinkle Remover Facial Massage Relaxation Tool,490,240,51,Glory Tech,17,84,0,97,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,New Eco Friendly Yoga Mat 8mm - Foam&Rubber,1250,724,42,Sports House,74,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Mat 2 Feet 8mm-Pati - Fitness Mart,1000,699,30,FITNESS MART,6,79,0,90,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Exercise Mat 3feet*6feet - 8mm Multicolor,1680,987,41,Sports House,67,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Resistance Bands Loop Exercise Elastic Band Fitness Training Rubber Gym Yoga Podazz,193,123,36,aFnV7kFC,1,78,100,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"High quality Resistance Band ( cloth variant ) 3 PCs for Men & Women, Exercise Resistance Band for Shape your body & lose weight .",220,120,45,Medicus (KHL),0,87,0,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"12"" Yoga Roller Yoga Foam Roller Medium Density Deep Tissue Massager for Muscle Massage and Myofascial Trigger Point Release",870,722,17,New Champion Sports.,10,87,0,92,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Power Land Fitness - Power40M 2.0hp Multi Function - Motorized Treadmill - Gym Equipment,52000,35374,32,Sports House,7,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,TPE YOGA MAT 8MM- ECO FRIENDLY ( 3' x 6') - 1 pcs - Fitness Mart,1400,1027,27,FITNESS MART,1,79,0,90,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Karate Mats 1 meter x 1 meter-1pcs - Fitness Mart,2700,1920,29,FITNESS MART,1,79,0,90,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,YOGA MAT 3'/6' Pati-8mm Rubber - 1 pc - Fitness Mart,1250,990,21,FITNESS MART,9,79,0,90,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,3 Feet Wide 6 Feet Long (8mm) Yoga Mat Fitness & Exercise Mat,1500,899,40,AZSHOP BD,1,0,0,97,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Blue Yoga Mat - 6 mm for men an women,1000,742,26,A to Z okay,1,81,0,37,Free Delivery,Cash on Delivery Available,No
