Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Electronics Devices,https://www.daraz.com.bd/smartphones/,Google Pixel 7A (8/128GB) Smartphone - Unofficial,65990,52989,20,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme Narzo N53 (6/128 Gb) (Unofficial )Global Variant,18999,16399,14,Phone Palace,1,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,realme C33 (4GB/128GB),16499,15699,5,Realme (Bangladesh),24,93,100,79,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,iphone 15 Pro Max 256GB/512GB/1TB (USA-LL/A) Smartphone- Unofficial,225990,185990,18,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,iPhone 11 - 128GB (USA-LL/A) Smartphone - Unofficial,85990,72489,16,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme Narzo N53 (4/64 GB) (Unofficial )Global Variant,15999,14399,10,Phone Palace,0,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung Galaxy F23 5G RAM 6GB ROM 128GB Smartphone Display Size 6.6 FHD+ TFT Infinity-V Display Battery Capacity 5000 mAh,34999,33644,4,Samsung Mobile Bangladesh,30,90,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Lava Benco Y40 SKD (4G),4500,4500,0,Benco Mobile,6,85,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung Galaxy A04 (3/32GB),16999,15484,9,Samsung Mobile Bangladesh,3,90,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung Galaxy A72 Smartphone Mobile - 8GB RAM/256GB ROM - 5000mAh Battery,53999,51844,4,Samsung Mobile Bangladesh,16,90,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Smile Q8 Premium (RAM-3GB/ROM-32GB)3600mAH Mobile Phone,3999,3899,3,Imam Telecom,23,0,100,100,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Symphony Z47 4GB/64GB Mobile Phone Smartphone,11499,9999,13,SYMPHONY,50,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung Galaxy A33 5G Ram 8GB/ Rom 128GB Smartphone 5000 mAh Battery Capacity Mobile Phone,49999,48021,4,Samsung Mobile Bangladesh,11,90,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung Galaxy S23 Ultra 12+256 GB - Unofficial,224999,122999,45,Phone Palace,0,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,iphone 15 Pro 128GB/256GB/512GB/1TB (USA-LL/A) Smartphone - Unofficial,165990,152990,8,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme Narzo 60 (8/128) GB Smartphone (Unofficial) Global - Mediatek Dimensity 6020 - Octa-core - Mali-G57 MC2 - Li-Po 5000 mah Battery,28999,27015,7,Phone Palace,0,0,0,98,Free Delivery,Cash on Delivery Available,No
